Word,Relative Frequency %,H1%,H2%,H3%,H4%,H5%,H6%,Anchor%,Title%,Url-Host,Url-Query,GT,web-id
first,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
public,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
australian,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
open,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
practice,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
match,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
favourite,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
nick,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
kyrgios,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
tennis,0.001658374792703151,0,0,0,0,0,0,0.002207505518763797,0,0,0,0,0
london,0.001658374792703151,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0
edit,0.001658374792703151,0,0,0,0,0,0,0.002207505518763797,0,0,0,0,0
fri,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
sat,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
sun,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
mon,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
visit,0.001658374792703151,0,0,0,0,0,0,0.002207505518763797,0,0,0,0,0
amazing,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
videos,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
camillas,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
life,0.004975124378109453,0,0,0.006802721088435374,0,0,0,0.006622516556291391,0,0,0,0,0
meeting,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
charles,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
surprising,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
power,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
whispering,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
truth,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
newborn,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
sleep,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
editors,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
picks,0.001658374792703151,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0
films,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
scare,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
unexplainable,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
ways,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
haunting,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
triumph,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
enys,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
men,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
eerie,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
cinema,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
oldschool,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
canadian,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
glamour,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
everything,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
love,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
businessclass,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
air,0.003316749585406302,0,0,0,0,0,0,0.002207505518763797,0,0,0,0,0
fraction,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
price,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
far,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
vertical,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
farming,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
might,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
mangos,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
apples,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
grow,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
highrise,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
city,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
farms,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
one,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
day,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
companies,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
burn,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
young,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
grads,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
steady,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
churn,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
impressionable,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
workers,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
man,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
kill,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
italys,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
powerful,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
mafia,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
prosecutor,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
nicola,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
gratteri,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
learned,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
live,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
constant,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
danger,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
americast,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
biden,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
investigation,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
much,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
trouble,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
secretly,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
recorded,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
rapists,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
confession,0.004975124378109453,0,0,0,0,0,0,0,0,0,0,0,0
ellie,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
wilson,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
said,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
released,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
show,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
manipulative,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
abusers,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
uk,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.006622516556291391,0,0,0,0,0
business,0.011608623548922056,0,0.11538461538461539,0,0,0,0,0.013245033112582781,0,0,0,0,0
economy,0.003316749585406302,0,0.038461538461538464,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
beats,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
expectations,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
november,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
growth,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
apple,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
pay,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
cut,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
adidas,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
loses,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
stripes,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
trademark,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
browne,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
royal,0.003316749585406302,0,0,0.006802721088435374,0,0,0,0.004415011037527594,0,0,0,0,0
mail,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
hit,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
russialinked,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
ransomware,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
attack,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
planet,0.004975124378109453,0,0.038461538461538464,0,0,0,0,0.006622516556291391,0,0,0,0,0
solutions,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
sustainable,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
world,0.013266998341625208,0,0.07692307692307693,0.006802721088435374,0,0,0,0.01545253863134658,0,0,0,0,0
answer,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
indias,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
flower,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
waste,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
real,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
christmas,0.004975124378109453,0,0,0.006802721088435374,0,0,0,0.006622516556291391,0,0,0,0,0
trees,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
would,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
green,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
cup,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
look,0.001658374792703151,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
like,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
technology,0.004975124378109453,0,0.07692307692307693,0,0,0,0,0.006622516556291391,0,0,0,0,0
india,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
targets,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
chinas,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
dominance,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
mobile,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
phones,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
advertisement,0.001658374792703151,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0
could,0.004975124378109453,0,0,0.006802721088435374,0,0,0,0.006622516556291391,0,0,0,0,0
floating,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
solar,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
survive,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
featured,0.001658374792703151,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0
video,0.003316749585406302,0,0.038461538461538464,0,0,0,0,0.002207505518763797,0,0,0,0,0
ros,0.008291873963515755,0,0,0.006802721088435374,0,0,0,0.008830022075055188,0,0,0,0,0
atkins,0.008291873963515755,0,0,0.006802721088435374,0,0,0,0.008830022075055188,0,0,0,0,0
social,0.008291873963515755,0,0,0.006802721088435374,0,0,0,0.008830022075055188,0,0,0,0,0
cares,0.006633499170812604,0,0,0,0,0,0,0,0,0,0,0,0
